WTVeh_1,WTVeh_2,WTVeh_3,WTVeh_4,WTTx_1,WTTx_2,WTTx_3,WTTx_4,KOVeh_1,KOVeh_2,KOVeh_3,KOVeh_4,KOTx_1,KOTx_2,KOTx_3,KOTx_4,Peptides,Sequence coverage [%],Mol. weight [kDa],Q-value,Number Of Imputations,Protein IDs,Gene names,Protein names,Fasta headers
-2.53960228,-2.157150269,-1.80282402,-2.596702576,-2.358945847,-2.449285507,-2.255245209,-2.518951416,-2.369300842,-2.469085693,-2.46812439,-2.264781952,-2.689376831,-2.421941757,-2.575098038,-2.251865387,2,20.6,11.778,0.0051249,0,A0A075B5P2;P01837,Igkc,Ig kappa chain C region,tr|A0A075B5P2|A0A075B5P2_MOUSE Immunoglobulin kappa constant (Fragment) OS=Mus musculus GN=Igkc PE=1 SV=1;sp|P01837|IGKC_MOUSE Ig kappa chain C region OS=Mus musculus PE=1 SV=1
-5.307391167,-5.728643417,-5.408033371,-5.419546127,-5.361886024,-5.479966164,-5.132614136,-5.430418968,-5.629101753,-5.285377502,-5.234505653,-5.243159294,-5.655142784,-5.392146111,-5.661886215,-5.357719421,2,5.3,49.943,0,0,A0A075B5P6;A0A075B6A0;P01872;P01872-2,Ighm,Ig mu chain C region,tr|A0A075B5P6|A0A075B5P6_MOUSE Ig mu chain C region (Fragment) OS=Mus musculus GN=Ighm PE=1 SV=1;tr|A0A075B6A0|A0A075B6A0_MOUSE Ig mu chain C region (Fragment) OS=Mus musculus GN=Ighm PE=1 SV=2;sp|P01872|IGHM_MOUSE Ig mu chain C region OS=Mus musculus GN=I
-2.304601669,-2.700206757,-2.699302673,-2.125347137,-2.712802887,-2.634443283,-2.880828857,-2.801769257,-1.556348801,-2.819307327,-2.164812088,-2.172334671,-2.685287476,-2.10609436,-2.71021843,-2.570323944,1,22.2,6.9541,0,0,A0A087WNS9;A0A087WQ65;A0A087WRZ2;A0A087WNT2;A0A087WPY4;Q99JA5;Q64253,Ly6e,Lymphocyte antigen 6E,tr|A0A087WNS9|A0A087WNS9_MOUSE Lymphocyte antigen 6E (Fragment) OS=Mus musculus GN=Ly6e PE=1 SV=6;tr|A0A087WQ65|A0A087WQ65_MOUSE Lymphocyte antigen 6E (Fragment) OS=Mus musculus GN=Ly6e PE=1 SV=1;tr|A0A087WRZ2|A0A087WRZ2_MOUSE Lymphocyte antigen 6E (Fragme
2.650531769,2.66569519,2.666223526,2.633029938,2.675479889,2.723524094,2.646654129,2.661941528,2.644599915,2.652605057,2.630922318,2.648971558,2.670944214,2.628574371,2.641830444,2.635665894,108,44.4,315.42,0,0,A0A087WNU5;A0A087WRU2,Ank3,,tr|A0A087WNU5|A0A087WNU5_MOUSE Ankyrin-3 (Fragment) OS=Mus musculus GN=Ank3 PE=1 SV=1
-2.930912018,-3.116737366,-3.019767761,-3.323469162,-2.890727997,-3.143358231,-3.136037827,-2.986724854,-3.000181198,-3.158792496,-3.168352127,-3.008705139,-3.237195969,-3.132188797,-3.147031784,-3.352645874,15,28.2,64.931,0,0,A0A087WNU6,Lrrfip1,,tr|A0A087WNU6|A0A087WNU6_MOUSE Leucine-rich repeat flightless-interacting protein 1 (Fragment) OS=Mus musculus GN=Lrrfip1 PE=1 SV=1
2.119550705,1.860181808,2.056955338,2.004173279,1.92751503,2.006214142,1.879985809,1.867797852,1.913150787,1.896711349,1.902271271,1.922466278,1.863607407,2.05452919,1.967233658,1.82652092,13,33.6,53.974,0,0,A0A087WNV1;A0A087WSR7;A0A087WR52;Q8K2K6-3;Q8K2K6-1;Q8K2K6;Q8K2K6-2;A0A087WRL1,Agfg1,Arf-GAP domain and FG repeat-containing protein 1,tr|A0A087WNV1|A0A087WNV1_MOUSE Arf-GAP domain and FG repeat-containing protein 1 OS=Mus musculus GN=Agfg1 PE=1 SV=1;tr|A0A087WSR7|A0A087WSR7_MOUSE Arf-GAP domain and FG repeat-containing protein 1 OS=Mus musculus GN=Agfg1 PE=1 SV=1;tr|A0A087WR52|A0A087WR52
0.304803848,0.335201263,0.387718201,0.340890884,0.311040878,0.196241379,0.271221161,0.293397903,0.283229828,0.303665161,0.299211502,0.350341797,0.243581772,0.239082336,0.280170441,0.300695419,33,20,220.66,0,0,A0A087WNZ7;G5E870;A0A0B4J1N9;A0A087WP92;A0A087WRV6;A0A087WQ02;Q3TP48;A0A087WSG4;A0A087WS65;A0A087WS33,Trip12,E3 ubiquitin-protein ligase TRIP12,tr|A0A087WNZ7|A0A087WNZ7_MOUSE E3 ubiquitin-protein ligase TRIP12 OS=Mus musculus GN=Trip12 PE=1 SV=1;sp|G5E870|TRIPC_MOUSE E3 ubiquitin-protein ligase TRIP12 OS=Mus musculus GN=Trip12 PE=1 SV=1
-1.788692474,-1.764944077,-1.966209412,-1.561819077,-1.736459732,-1.903690338,-1.680801392,-1.474199295,-1.663539886,-1.761867523,-1.564851761,-1.80491066,-1.619045258,-1.460674286,-1.44449234,-1.685413361,6,3.8,331.54,0,0,A0A087WP63;A0A087WNX7;A0A087WNL7;A0A087WQ44;E9Q9V7;A0A087WQY5;A0A087WS36,Srcap,,tr|A0A087WP63|A0A087WP63_MOUSE Predicted gene 42715 (Fragment) OS=Mus musculus GN=Gm42715 PE=1 SV=1;tr|A0A087WNX7|A0A087WNX7_MOUSE Snf2-related CREBBP activator protein OS=Mus musculus GN=Srcap PE=1 SV=1;tr|A0A087WNL7|A0A087WNL7_MOUSE Snf2-related CREBBP a
-4.009987831,-4.10633564,-4.232205391,-4.142868996,-3.775793076,-3.999011993,-3.944134712,-3.779863358,-4.060990334,-3.963582993,-3.878372192,-3.889684677,-3.814460754,-4.038442612,-3.816002846,-3.872627258,3,4.1,99.648,0,0,A0A087WP69;Q6XUX1-3;Q6XUX1-2;Q6XUX1;A0A087WQX0;Q6XUX1-4,Dstyk,Dual serine/threonine and tyrosine protein kinase,tr|A0A087WP69|A0A087WP69_MOUSE Dual serine/threonine and tyrosine protein kinase OS=Mus musculus GN=Dstyk PE=1 SV=1;sp|Q6XUX1-3|DUSTY_MOUSE Isoform 3 of Dual serine/threonine and tyrosine protein kinase OS=Mus musculus GN=Dstyk;sp|Q6XUX1-2|DUSTY_MOUSE Isof
-1.25041008,-1.178667068,-1.194364548,-1.225597382,-1.022644043,-1.210037231,-1.096570969,-1.180215836,-1.236375809,-1.144577026,-1.308895111,-1.273513794,-1.128185272,-1.278184891,-1.073720932,-1.135765076,17,63,34.02,0,0,A0A087WPH7;F6Q2E3,Psmc3,,tr|A0A087WPH7|A0A087WPH7_MOUSE 26S proteasome regulatory subunit 6A (Fragment) OS=Mus musculus GN=Psmc3 PE=1 SV=6
